commit,commit_date,author_date,path,loc,lloc,comments,blanks,entities,inter_cd,intra_cd,cc
230a86c4897e10fbc5e7384b064cc526395d47e5,2007-08-08 15:52:25+00:00,2007-08-08 15:52:25+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,264,264,"Fixing a bunch of checkstyle violations


git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@563921 13f79535-47bb-0310-9956-ffa450edef68",31,38,1.371660666356156,1.3716606610138207,29
fc00993839c69f86823870e06a335d035db48bb2,2007-08-09 16:37:49+00:00,2007-08-09 16:37:49+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,266,266,"More checkstyle violation fixes

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@564271 13f79535-47bb-0310-9956-ffa450edef68",30,38,1.3713465712038377,1.3713465678938654,29
6d8e2c5b3a4054f537308a5be9eac9254a57a17a,2007-08-20 10:37:29+00:00,2007-08-20 10:37:29+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,266,266,"UpdateManager changed to account for Store and Temp data usage as well as memory usage

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@567647 13f79535-47bb-0310-9956-ffa450edef68",30,38,1.3697563307797704,1.3697563252903193,29
53c4e125f6790a9283687118e03567514f37d845,2007-10-01 20:02:18+00:00,2007-10-01 20:02:18+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,266,266,"Fix for AMQ-1095:
 - Added contributed test cases
 - We now filter out non-matching messages as they are loaded into the TopicStorePrefetch
 - Changed the TopicStorePrefetch and StoreDurableSubscriberCursor so that they don't depend
   on the pending message counter since some stores cannot give an accurate count for it.



git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@581053 13f79535-47bb-0310-9956-ffa450edef68",30,38,1.369872808391593,1.3698728079783093,29
0da68b4cb3915e36ea07ac322ea417c475573ac5,2007-10-17 05:05:50+00:00,2007-10-17 05:05:50+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,277,277,"Make producerFlowControl configurable per Destination
default=true

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@585375 13f79535-47bb-0310-9956-ffa450edef68",32,41,1.368969155739595,1.3689691510388207,29
1ee00173d6a395f9b49a3ab07530c9b51fe99f3f,2007-10-19 19:01:10+00:00,2007-10-19 19:01:10+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,334,334,"Fix for https://issues.apache.org/activemq/browse/AMQ-1452 and
https://issues.apache.org/activemq/browse/AMQ-729

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@586580 13f79535-47bb-0310-9956-ffa450edef68",38,50,1.4245377989010288,1.4245378004184408,29
9dd11cb71f02e7259c2e4a110c90dea69c70bb69,2007-11-28 20:19:27+00:00,2007-11-28 20:19:27+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,354,354,"Fix for https://issues.apache.org/activemq/browse/AMQ-1490

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@599129 13f79535-47bb-0310-9956-ffa450edef68",42,56,1.4214963518484498,1.4214963512305225,29
83c3dca9e50e216cce5cc3af7c040195b9ff81f5,2008-01-21 10:31:22+00:00,2008-01-21 10:31:22+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,354,354,"Fix for https://issues.apache.org/activemq/browse/AMQ-1510

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@613830 13f79535-47bb-0310-9956-ffa450edef68",42,56,1.4224571252651146,1.4224571239245094,29
23cda2d6bb1b442d4ac1a68182ddf233075f2677,2008-01-22 14:28:10+00:00,2008-01-22 14:28:10+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,353,353,"Fix for https://issues.apache.org/activemq/browse/AMQ-1562

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@614206 13f79535-47bb-0310-9956-ffa450edef68",42,56,1.4230283774702592,1.4230283781199577,29
d0f3d4dce918e7995fd937d279ee1ae69c72890b,2008-02-05 14:04:39+00:00,2008-02-05 14:04:39+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,364,364,"Make maximum page size for queues configurable

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@618654 13f79535-47bb-0310-9956-ffa450edef68",44,59,1.4393188434440902,1.4393188421443148,29
